date,occupancy
2018-10-28,0.8009708737864077
2018-10-29,0.7219512195121951
2018-10-30,0.6487804878048781
2018-10-31,0.7184466019417476
2018-11-01,0.8439024390243902
2018-11-02,0.8780487804878049
2018-11-03,0.8829268292682927
2018-11-04,0.7170731707317073
2018-11-05,0.624390243902439
2018-11-06,0.6536585365853659
2018-11-07,0.6310679611650486
2018-11-08,0.6796116504854369
2018-11-09,0.7902439024390244
2018-11-10,0.8495145631067961
2018-11-11,0.7170731707317073
2018-11-12,0.6292682926829268
2018-11-13,0.6487804878048781
2018-11-14,0.6585365853658537
2018-11-15,0.7414634146341463
2018-11-16,0.8398058252427184
2018-11-17,0.8731707317073171
2018-11-18,0.7219512195121951
2018-11-19,0.6585365853658537
2018-11-20,0.6829268292682927
2018-11-21,0.6829268292682927
2018-11-22,0.7707317073170732
2018-11-23,0.8780487804878049
2018-11-24,0.9077669902912622
2018-11-25,0.7024390243902439
2018-11-26,0.6341463414634146
2018-11-27,0.6585365853658537
2018-11-28,0.6439024390243903
2018-11-29,0.7951219512195122
2018-11-30,0.7853658536585366
2018-12-01,0.8146341463414634
2018-12-02,0.6116504854368932
2018-12-03,0.5365853658536586
2018-12-04,0.5073170731707317
2018-12-05,0.6
2018-12-06,0.8439024390243902
2018-12-07,0.8975609756097561
2018-12-08,0.8829268292682927
2018-12-09,0.5048543689320388
2018-12-10,0.46116504854368934
2018-12-11,0.44660194174757284
2018-12-12,0.46116504854368934
2018-12-13,0.5317073170731708
2018-12-14,0.6439024390243903
2018-12-15,0.6487804878048781
2018-12-16,0.526829268292683
2018-12-17,0.47317073170731705
2018-12-18,0.44660194174757284
2018-12-19,0.4682926829268293
2018-12-20,0.4878048780487805
2018-12-21,0.5560975609756098
2018-12-22,0.5902439024390244
2018-12-23,0.5804878048780487
2018-12-24,0.6195121951219512
2018-12-25,0.6097560975609756
2018-12-26,0.5970873786407767
2018-12-27,0.6487804878048781
2018-12-28,0.7219512195121951
2018-12-29,0.775609756097561
2018-12-30,0.7707317073170732
2018-12-31,0.7912621359223301
2019-01-01,0.7281553398058253
2019-01-02,0.5609756097560976
2019-01-03,0.5145631067961165
2019-01-04,0.48292682926829267
2019-01-05,0.44878048780487806
2019-01-06,0.375609756097561
2019-01-07,0.33170731707317075
2019-01-08,0.37073170731707317
2019-01-09,0.375609756097561
2019-01-10,0.36585365853658536
2019-01-11,0.3592233009708738
2019-01-12,0.37073170731707317
2019-01-13,0.32038834951456313
2019-01-14,0.3170731707317073
2019-01-15,0.3121951219512195
2019-01-16,0.2975609756097561
2019-01-17,0.3073170731707317
2019-01-18,0.32682926829268294
2019-01-19,0.36893203883495146
2019-01-20,0.3121951219512195
2019-01-21,0.2926829268292683
2019-01-22,0.2780487804878049
2019-01-23,0.28292682926829266
2019-01-24,0.28780487804878047
2019-01-25,0.2682926829268293
2019-01-26,0.2634146341463415
2019-01-27,0.2621359223300971
2019-01-28,0.2669902912621359
2019-01-29,0.2815533980582524
2019-01-30,0.2731707317073171
2019-01-31,0.25853658536585367
2019-02-01,0.2682926829268293
2019-02-02,0.2780487804878049
2019-02-03,0.2634146341463415
2019-02-04,0.2669902912621359
2019-02-05,0.2634146341463415
2019-02-06,0.25853658536585367
2019-02-07,0.25853658536585367
2019-02-08,0.2634146341463415
2019-02-09,0.2731707317073171
2019-02-10,0.2634146341463415
2019-02-11,0.2669902912621359
2019-02-12,0.2621359223300971
2019-02-13,0.25728155339805825
2019-02-14,0.2912621359223301
2019-02-15,0.33170731707317075
2019-02-16,0.35121951219512193
2019-02-17,0.2634146341463415
2019-02-18,0.2682926829268293
2019-02-19,0.24878048780487805
2019-02-20,0.23786407766990292
2019-02-21,0.23902439024390243
2019-02-22,0.24390243902439024
2019-02-23,0.24878048780487805
2019-02-24,0.22926829268292684
2019-02-25,0.2146341463414634
2019-02-26,0.1902439024390244
2019-02-27,0.33658536585365856
2019-02-28,0.3592233009708738
2019-03-01,0.3902439024390244
2019-03-02,0.3902439024390244
2019-03-03,0.375609756097561
2019-03-04,0.37073170731707317
2019-03-05,0.36585365853658536
2019-03-06,0.36585365853658536
2019-03-07,0.37073170731707317
2019-03-08,0.36893203883495146
2019-03-09,0.34146341463414637
2019-03-10,0.33170731707317075
2019-03-11,0.33658536585365856
2019-03-12,0.33658536585365856
2019-03-13,0.3463414634146341
2019-03-14,0.35121951219512193
2019-03-15,0.375609756097561
2019-03-16,0.38349514563106796
2019-03-17,0.375609756097561
2019-03-18,0.3737864077669903
2019-03-19,0.3804878048780488
2019-03-20,0.3804878048780488
2019-03-21,0.375609756097561
2019-03-22,0.37073170731707317
2019-03-23,0.36585365853658536
2019-03-24,0.3640776699029126
2019-03-25,0.36097560975609755
2019-03-26,0.3463414634146341
2019-03-27,0.3463414634146341
2019-03-28,0.35609756097560974
2019-03-29,0.4146341463414634
2019-03-30,0.40487804878048783
2019-03-31,0.4097560975609756
2019-04-01,0.44660194174757284
2019-04-02,0.44878048780487806
2019-04-03,0.44878048780487806
2019-04-04,0.43902439024390244
2019-04-05,0.44390243902439025
2019-04-06,0.44390243902439025
2019-04-07,0.43414634146341463
2019-04-08,0.43902439024390244
2019-04-09,0.441747572815534
2019-04-10,0.44390243902439025
2019-04-11,0.45365853658536587
2019-04-12,0.45365853658536587
2019-04-13,0.4634146341463415
2019-04-14,0.4585365853658537
2019-04-15,0.45365853658536587
2019-04-16,0.45365853658536587
2019-04-17,0.46601941747572817
2019-04-18,0.4682926829268293
2019-04-19,0.47804878048780486
2019-04-20,0.4682926829268293
2019-04-21,0.4634146341463415
2019-04-22,0.43414634146341463
2019-04-23,0.4292682926829268
2019-04-24,0.424390243902439
2019-04-25,0.42718446601941745
2019-04-26,0.44390243902439025
2019-04-27,0.44390243902439025
2019-04-28,0.44660194174757284
2019-04-29,0.4585365853658537
2019-04-30,0.45365853658536587
2019-05-01,0.43414634146341463
2019-05-02,0.44660194174757284
2019-05-03,0.46601941747572817
2019-05-04,0.4368932038834951
